domain,label
google.com,TRUE
google.cn,TRUE
qq.com,TRUE
ecabo.nl,TRUE
bubkoo.com,TRUE
xxhdtube.com,TRUE
jambonairobi.co.ke,TRUE
krawt.ru,TRUE
laurcraft.com,TRUE
superbexgf.com,TRUE
relacoesinstitucionais.gov.br,TRUE
uptoday.in,TRUE
jazzcardizate.com,TRUE
arcalide.com,TRUE
ogiwarashop.com,TRUE
fariscpa.com,TRUE
bolukoroglu.com,TRUE
activapromociones.com,TRUE
textage.cc,TRUE
graceandjames.com.au,TRUE
hz-pbs.de,TRUE
acics.org,TRUE
mybrokenleg.com,TRUE
tusnovelas.com,TRUE
ki3fashion.com,TRUE
zlewozmywaki-kuchenne.com,TRUE
classiccarstereos.com,TRUE
6789yc.com,TRUE
e-neon.ru,TRUE
thebounce.ca,TRUE
davidwej.com,TRUE
bluesquirrel.com,TRUE
tradeitin.net,TRUE
serverbing.co.uk,TRUE
ingrammicro.es,TRUE
usstoragecenters.com,TRUE
algeriadragonsoft.com,TRUE
psyphil.com,TRUE
ateliervisioneurope.com,TRUE
2904192386692843423_ac80199f15f61ecda6fb0a1dbc0259fd5bc1abde.blogspot.com,TRUE
banorte.com.mx,TRUE
mytelevizia.com,TRUE
raporparasi.com,TRUE
teamlockerroom.com,TRUE
vmaxwell.com,TRUE
matavaishnodevihelicopter.com,TRUE
balloonsale.us,TRUE
eposignal.ru,TRUE
southindianvegrecipes.com,TRUE
uwn.com,TRUE
suratpropertyworld.com,TRUE
farsimall.com,TRUE
biznesatlas.com,TRUE
ntf.ru,TRUE
vouchers-today.com,TRUE
ddsnomer.com,TRUE
vinals.me,TRUE
guddy-jp.com,TRUE
purplehills.de,TRUE
uncs.eu,TRUE
savunmaveteknoloji.com,TRUE
animatedscience.co.uk,TRUE
racetep.com,TRUE
master-cpm.com,TRUE
ondemonds.net,TRUE
s-m-video.com,TRUE
courstoutoune.com,TRUE
gansufarm.com,TRUE
symbalooedu.com,TRUE
bomretironamoda.com.br,TRUE
wageme.com,TRUE
greenstechnologyadyar.in,TRUE
valenceromansagglo.fr,TRUE
taobao.ua,TRUE
emperorcapital.com,TRUE
integritymedicenter.com,TRUE
examfeedback.net,TRUE
tejoradiojornal.pt,TRUE
adriadaily.com,TRUE
orangecoupons.com,TRUE
rainbow.coop,TRUE
hoje.li,TRUE
santanderpb.je,TRUE
jimmyspices.co.uk,TRUE
rireafond.net,TRUE
fiestasaipan.com,TRUE
tolkienlibrary.com,TRUE
samiraneshati.ir,TRUE
brightcontracts.co.uk,TRUE
ddrservice.info,TRUE
keralacelebrity.com,TRUE
tirol-infos.at,TRUE
vidskart.com,TRUE
mr-sherman.livejournal.com,TRUE
oriental-hiroshima.com,TRUE
daytona7.com,TRUE
essyndic.com,TRUE
papertrufflez.com,TRUE
vseprotisk.cz,TRUE
guiasgratis.net,TRUE
indicepa.it,TRUE
soap-tokugawa.com,TRUE
delnama.com,TRUE
abrahosting.org.br,TRUE
gudumami.cn,TRUE
moneyistheway.blogspot.com.au,TRUE
portuguesconcurso.com,TRUE
optimalya.com,TRUE
truyendich.info,TRUE
solvasquez.wordpress.com,TRUE
cinkonsoloslugu.com,TRUE
giddyupglamouronline.com,TRUE
pmcs.com,TRUE
porno-oase.com,TRUE
iesmigmon.cat,TRUE
him-kazan.ru,TRUE
butterbraid.com,TRUE
nsmarket.gr,TRUE
crashengine.ru,TRUE
barbaras.com,TRUE
pornelephant.org,TRUE
entsorgung.de,TRUE
gibson-club.de,TRUE
lotus.london,TRUE
imoto.cl,TRUE
milicakostic.rs,TRUE
sloggers.com,TRUE
citysport.fr,TRUE
wowui.cn,TRUE
colladovillalba.es,TRUE
audiologys.com,TRUE
ccdrdag.com,TRUE
charttec.de,TRUE
luxuryflooringandfurnishings.co.uk,TRUE
mindenkupon.hu,TRUE
eestats.com,TRUE
caycanhthanglong.vn,TRUE
campuslaser.com,TRUE
parolealtre.it,TRUE
nape.org.ng,TRUE
guestserial.net,TRUE
itsbea.com,TRUE
diasdelujo.com,TRUE
hsp.com.br,TRUE
whoo.co.kr,TRUE
rentacardoha.com,TRUE
aup.nl,TRUE
texascookietime.org,TRUE
saabparts.su,TRUE
chip-tuner.hu,TRUE
tvkampen.com,TRUE
ma-quoc-gia.info,TRUE
zoukclub.com,TRUE
hbteam.co,TRUE
hargapipa.com,TRUE
thedailysail.com,TRUE
myactivechild.com,TRUE
resultweb.in,TRUE
adwords-starthilfe.de,TRUE
eurocycles.com,TRUE
skatersnetwork.com.au,TRUE
blackfridaypromocoes.com.br,TRUE
americanboychoir.org,TRUE
dynamic-advantage.com,TRUE
univer9.ru,TRUE
cestat.gov.in,TRUE
nemet-alapszokincs.info,TRUE
neyro.com,TRUE
hiname.co,TRUE
omegaunderground.com,TRUE
plunderpirates.com,TRUE
bereanbay.com,TRUE
software4u.de,TRUE
incest78.tumblr.com,TRUE
mobitrgovina.com,TRUE
kemcom.com.au,TRUE
kempe.net.au,TRUE
blogdelanine.blogspot.com.es,TRUE
androidpicks.com,TRUE
bio-sanatate.com,TRUE
deliverycurrentbinaries.com,TRUE
sizegainpills.net,TRUE
thedeadweather.com,TRUE
haus-hus-dom.com,TRUE
turkishdictionary.net,TRUE
acclaimresumes.com.au,TRUE
miusic-lanka.com,TRUE
tuparaisogay.blogspot.mx,TRUE
tm-gnet.com,TRUE
thebuzzguys.com,TRUE
smart-japan.jp,TRUE
cccamaster.com,TRUE
juegosdehellokitty.co,TRUE
vetproductsonline.co.za,TRUE
lvcardiology.net,TRUE
iqacademy.ac.za,TRUE
mcspotlight.org,TRUE
webeuz.com,TRUE
gma-cpa.com,TRUE
ardeche.gouv.fr,TRUE
peruserviciosturisticos.com,TRUE
radio26cu.wordpress.com,TRUE
govtjobshunt.in,TRUE
dailyoffer.pk,TRUE
business-ru.livejournal.com,TRUE
multinabudekor.pl,TRUE
certifiedpositive.com,TRUE
mttbvalue.com,TRUE
trdfutures.com,TRUE
whatsappspot.com,TRUE
centrozem.ru,TRUE
aems.edu.br,TRUE
nbrii.com,TRUE
aluga-guarda.com,TRUE
samplesresumetemplates.com,TRUE
3dyd.com,TRUE
flash-team.cz,TRUE
seo-space.net,TRUE
y-shokukobo.com,TRUE
tiawood.com,TRUE
touristy.blogfa.com,TRUE
mumamie.com,TRUE
genelbilge.com,TRUE
spreaderrands.com,TRUE
cslteachers.co.uk,TRUE
sexactress.ru,TRUE
webmaxtechnologies.com,TRUE
beautycrazed.ca,TRUE
exaronews.com,TRUE
thehshq.com,TRUE
pap.by,TRUE
hostboard.com,TRUE
jseb.co.in,TRUE
enshealth.com,TRUE
noirot.fr,TRUE
aldom.pl,TRUE
luxembourg-belge.be,TRUE
gravitythanks.tumblr.com,TRUE
lover98.org,TRUE
fusuiweb.com,TRUE
tynikdy.cz,TRUE
picnet.com.au,TRUE
isigaii.co.jp,TRUE
bnitos.com,TRUE
packageplaza.net,TRUE
thiruvananthapuramrealestate.in,TRUE
kojika-anime.com,TRUE
agincourtnissan.com,TRUE
greenness.ru,TRUE
dating-express.com,TRUE
sabashimi.com,TRUE
top359.com,TRUE
fostergrant.co.uk,TRUE
seriously.com,TRUE
pcso.us,TRUE
hiphopproduction.com,TRUE
lice.it,TRUE
vidacaixa.es,TRUE
clinicamassagensexoticas.com.br,TRUE
bvr-ivanovo.ru,TRUE
tumuzikaze.net,TRUE
americanpowerblog.blogspot.ca,TRUE
scrapindex.com,TRUE
mylifevalues.com,TRUE
careertrans.com,TRUE
banglaganlyrics.wordpress.com,TRUE
fuzzland.net,TRUE
small-games.biz,TRUE
historybrands.jimdo.com,TRUE
